# Core Polish vocabulary, ordered by approximate frequency in modern spoken and written use.
# Line order within this file IS the frequency rank, so inserting a word shifts everything after it.
# Columns: polish <TAB> english <TAB> pos <TAB> cefr <TAB> topics (comma separated, may be empty)
# pos: n v adj adv prn num prep conj part interj expr
i	and	conj	A1
upał	heatwave	n	B1	weather
grad	hail	n	B1	weather
tęcza	rainbow	n	A2	weather,colors
błyskawica	lightning	n	B1	weather
grzmot	thunder	n	B1	weather
temperatura	temperature	n	A2	weather,health
prognoza	forecast	n	B1	weather
pochmurno	cloudy	adv	A2	weather
słonecznie	sunny	adv	A2	weather
wietrznie	windy	adv	B1	weather
wilgotny	humid	adj	B1	weather
suchy	dry	adj	A2	weather
mokry	wet	adj	A1	weather
musieć	to have to	v	A1	daily-conversation
powinien	should	v	A2	daily-conversation
umieć	to know how to	v	A1	studying
potrafić	to be capable of	v	A2
woleć	to prefer	v	A2	daily-conversation
próbować	to try	v	A1
zostać	to stay, to become	v	A1
stawać się	to become	v	B1
wydawać się	to seem	v	B1
wyglądać	to look like	v	A1	appearance
przychodzić	to come	v	A1	directions
wracać	to come back	v	A1	directions
wychodzić	to go out	v	A1	directions
wchodzić	to enter	v	A1	directions
przynosić	to bring	v	A2
zabierać	to take away	v	A2
kłaść	to put, to lay	v	A2
trzymać	to hold	v	A1
rzucać	to throw	v	A2	sports
ciągnąć	to pull	v	A2
pchać	to push	v	A2
budować	to build	v	A2
niszczyć	to destroy	v	B1
naprawiać	to repair	v	A2	household
zmieniać	to change	v	A1
sprawdzać	to check	v	A1
wybierać	to choose	v	A1
decydować	to decide	v	A2
zdążyć	to make it in time	v	B1	time
marzyć	to dream of	v	A2	emotions
śnić	to dream	v	B1
wierzyć	to believe	v	A2
ufać	to trust	v	B1	relationships
wątpić	to doubt	v	B2
zgadzać się	to agree	v	A2	daily-conversation
odmawiać	to refuse	v	B1
obiecywać	to promise	v	B1	relationships
ostrzegać	to warn	v	B1	emergency
radzić	to advise	v	B1
proponować	to propose	v	A2	meetings
wyjaśniać	to explain	v	B1	studying
opowiadać	to tell	v	A2	books
pytać	to ask	v	A1	daily-conversation
odpowiadać	to answer	v	A1	daily-conversation
krzyczeć	to shout	v	A2	emotions
szeptać	to whisper	v	B1
milczeć	to keep silent	v	B1
powtarzać się	to repeat oneself	v	B2
przestawać	to stop doing	v	A2
zostawiać	to leave behind	v	A2
tracić	to lose	v	A2
zyskiwać	to gain	v	B1
dzielić	to divide, to share	v	A2	numbers
łączyć	to join	v	A2
oddzielać	to separate	v	B1
mierzyć	to measure	v	A2	numbers
ważyć	to weigh	v	A2	numbers
liczba mnoga	plural	n	B1
koniec	end	n	A1	time
początek	beginning	n	A1	time
środek	middle, means	n	A2	directions
przód	front	n	A2	directions
tył	back	n	A2	directions
brzeg	edge, shore	n	A2	sea,nature
siła	strength, force	n	A2	fitness
ruch	movement, traffic	n	A2	transport
szybkość	speed	n	A2	transport
wysokość	height	n	A2	shapes
szerokość	width	n	B1	shapes
długość	length	n	A2	shapes
głębokość	depth	n	B1	shapes,sea
kształt	shape	n	A2	shapes
kolor	colour	n	A1	colors
dźwięk	sound	n	A2	music
zapach	smell	n	A2	food
smak	taste	n	A2	food
widok	view	n	A2	tourism
obraz	picture, painting	n	A1	hobbies
rysunek	drawing	n	A2	hobbies
wzór	pattern, formula	n	B1	shapes
znak	sign	n	A2	directions
symbol	symbol	n	B1
numer	number	n	A1	numbers
adres	address	n	A1	directions
kontynent	continent	n	B1	countries
region	region	n	B1	countries
teren	area, ground	n	B1	nature
przestrzeń	space	n	B1
odcinek	stretch, episode	n	B2	movies
warunek	condition	n	B1
zasada	principle, rule	n	B1	law
prawda	truth	n	A1
kłamstwo	lie	n	A2	personality
tajemnica	secret	n	B1
opinia	opinion	n	B1	daily-conversation
uwaga krytyczna	criticism	n	B2	daily-conversation
pochwała	praise	n	B2
nagroda	reward, prize	n	A2	sports
prezent	present, gift	n	A1	dates
niespodzianka	surprise	n	A2	emotions
impreza	party	n	A1	hobbies
zabawa	fun, party	n	A1	games
żart	joke	n	A2	daily-conversation
uśmiech	smile	n	A2	emotions
łza	tear	n	B1	emotions
sen	dream, sleep	n	A1	health
myśl	thought	n	A2
wyobraźnia	imagination	n	B2
uwaga skupiona	concentration	n	B2	studying
talent	talent	n	A2
umiejętność	skill	n	B1	work
doświadczenie	experience	n	B1	work
wysiłek	effort	n	B1	fitness
odpoczynek	rest	n	A2	health
zmęczenie	tiredness	n	B1	health
energia	energy	n	A2	fitness
siła woli	willpower	n	B2	personality
charakter	character	n	B1	personality
zachowanie	behaviour	n	B1	personality
zwyczaj	custom	n	B1	countries
tradycja	tradition	n	A2	countries
kultura	culture	n	A2	countries
sztuka	art, play	n	A2	hobbies
styl	style	n	A2	clothing
moda	fashion	n	A2	clothing
wygoda	comfort	n	B1	home
luksus	luxury	n	B2	hotel
jakość	quality	n	A2	shopping
ilość	quantity	n	A2	numbers
wartość	value	n	B1	finance
korzyść	benefit	n	B2	business
szkoda	damage, pity	n	A2
ryzyko	risk	n	B1	emergency
szansa	chance	n	A2
sukces	success	n	A2	work
porada	advice	n	B1	health
instrukcja	instruction	n	B1	computer
ostrożnie	carefully	adv	A2	emergency
głośno	loudly	adv	A1	music
cicho	quietly	adv	A1	music
razem z	together with	prep	A2	relationships
osobno	separately	adv	B1
zwykle	usually	adv	A1	time
nagle	suddenly	adv	A2	time
powoli	slowly	adv	A1
natychmiast	immediately	adv	B1	time
wkrótce	soon	adv	A2	time
dawno	long ago	adv	A2	time
ostatnio	recently	adv	A2	time
kiedyś	someday, once	adv	A2	time
zaraz	in a moment	adv	A1	time
później	later	adv	A1	time
wcześniej	earlier	adv	A1	time
najpierw	first of all	adv	A2	time
wreszcie	finally	adv	B1	time
przynajmniej	at least	adv	B1
zwłaszcza	especially	adv	B1
raczej	rather	adv	B1
niestety	unfortunately	adv	A2	daily-conversation
na szczęście	fortunately	adv	A2	daily-conversation
właśnie	exactly, just	part	A2	daily-conversation
chyba	probably	part	A1	daily-conversation
przecież	after all	part	B1	daily-conversation
niech	let	part	B1
aby	in order to	conj	B1
żeby	so that	conj	A2
dopóki	as long as	conj	B2	time
zanim	before	conj	B1	time
odkąd	since	conj	B2	time
mimo	despite	prep	B1
według	according to	prep	B1
wobec	towards, in view of	prep	B2
oprócz	besides	prep	B1
zamiast	instead of	prep	B1
dzięki	thanks to	prep	A2
wokół	around	prep	B1	directions
wzdłuż	along	prep	B2	directions
wewnątrz	inside	adv	B1	directions
na zewnątrz	outside	adv	A2	directions
w górę	upwards	adv	A2	directions
w dół	downwards	adv	A2	directions
naprzód	forward	adv	B1	directions
wstecz	backwards	adv	B2	directions
dokoła	all around	adv	B2	directions
wszędzie	everywhere	adv	A2	directions
nigdzie	nowhere	adv	A2	directions
gdzieś	somewhere	adv	A2	directions
ktoś	somebody	prn	A1	people
nikt	nobody	prn	A1	people
coś	something	prn	A1
nic	nothing	prn	A1
wszyscy	everyone	prn	A1	people
